title,prize,amount,year,link,genre,film_length,animation,film_stage,latin,torrent_search,youtube_search
Capturing the Friedmans,Grand Jury Prize Documentary,1,2003,https://en.m.wikipedia.org//wiki/Capturing_the_Friedmans,documentary,,,,,https://rutracker.org/forum/tracker.php?nm=Capturing%20the%20Friedmans%202003,https://www.youtube.com/results?search_query=Capturing+the+Friedmans+2003
American Splendor,Grand Jury Prize Dramatic,1,2003,https://en.m.wikipedia.org//wiki/American_Splendor_(film),dramatic,,,,,https://rutracker.org/forum/tracker.php?nm=American%20Splendor%202003,https://www.youtube.com/results?search_query=American+Splendor+2003
Ocularist,Honorable Mention Short Filmmaking,1,2003,,,short,,,,https://rutracker.org/forum/tracker.php?nm=Ocularist%202003,https://www.youtube.com/results?search_query=Ocularist+2003
The Planets,Honorable Mention Short Filmmaking,1,2003,,,short,,,,https://rutracker.org/forum/tracker.php?nm=The%20Planets%202003,https://www.youtube.com/results?search_query=The+Planets+2003
Pan with Us,Honorable Mention Short Filmmaking,1,2003,,,short,,,,https://rutracker.org/forum/tracker.php?nm=Pan%20with%20Us%202003,https://www.youtube.com/results?search_query=Pan+with+Us+2003
The Freak,Honorable Mention Short Filmmaking,1,2003,,,short,,,,https://rutracker.org/forum/tracker.php?nm=The%20Freak%202003,https://www.youtube.com/results?search_query=The+Freak+2003
Asylum,Honorable Mention Short Filmmaking,1,2003,,,short,,,,https://rutracker.org/forum/tracker.php?nm=Asylum%202003,https://www.youtube.com/results?search_query=Asylum+2003
Fits & Starts,Honorable Mention Short Filmmaking,1,2003,,,short,,,,https://rutracker.org/forum/tracker.php?nm=Fits%20&%20Starts%202003,https://www.youtube.com/results?search_query=Fits+&+Starts+2003
Earthquake,Honorable Mention Short Filmmaking,1,2003,,,short,,,,https://rutracker.org/forum/tracker.php?nm=Earthquake%202003,https://www.youtube.com/results?search_query=Earthquake+2003
From the 104th Floor,Honorable Mention Short Filmmaking,1,2003,,,short,,,,https://rutracker.org/forum/tracker.php?nm=From%20the%20104th%20Floor%202003,https://www.youtube.com/results?search_query=From+the+104th+Floor+2003
Terminal Bar,Jury Prize Short Filmmaking,1,2003,https://en.m.wikipedia.org//wiki/Terminal_Bar_(film),,short,,,,https://rutracker.org/forum/tracker.php?nm=Terminal%20Bar%202003,https://www.youtube.com/results?search_query=Terminal+Bar+2003
One,Online Film Festival Audience Award Short Filmmaking,1,2003,,,short,,,,https://rutracker.org/forum/tracker.php?nm=One%202003,https://www.youtube.com/results?search_query=One+2003
Broken Saints,Online Film Festival Audience Award Short Filmmaking Animation,1,2003,https://en.m.wikipedia.org//wiki/Broken_Saints,,short,animation,,,https://rutracker.org/forum/tracker.php?nm=Broken%20Saints%202003,https://www.youtube.com/results?search_query=Broken+Saints+2003
S-11 Redux: Channel Surfing the Apocalypse,Online Film Festival Second Place Audience Award Short Filmmaking,1,2003,,,short,,,,https://rutracker.org/forum/tracker.php?nm=S-11%20Redux:%20Channel%20Surfing%20the%20Apocalypse%202003,https://www.youtube.com/results?search_query=S-11+Redux:+Channel+Surfing+the+Apocalypse+2003
LOR,Online Film Festival Second Place Audience Award Short Filmmaking Animation,1,2003,,,short,animation,,,https://rutracker.org/forum/tracker.php?nm=LOR%202003,https://www.youtube.com/results?search_query=LOR+2003
Icarus of Pittsburgh,Online Film Festival Third Place Audience Award Short Filmmaking,1,2003,,,short,,,,https://rutracker.org/forum/tracker.php?nm=Icarus%20of%20Pittsburgh%202003,https://www.youtube.com/results?search_query=Icarus+of+Pittsburgh+2003
Bumble Beeing,Online Film Festival Third Place Audience Award Short Filmmaking Animation,1,2003,,,short,animation,,,https://rutracker.org/forum/tracker.php?nm=Bumble%20Beeing%202003,https://www.youtube.com/results?search_query=Bumble+Beeing+2003
The Station Agent,Waldo Salt Screenwriting Award,1,2003,,,,,screenwriting,,https://rutracker.org/forum/tracker.php?nm=The%20Station%20Agent%202003,https://www.youtube.com/results?search_query=The+Station+Agent+2003
Whale Rider,World Cinema Audience Award,1,2003,https://en.m.wikipedia.org//wiki/Whale_Rider,,,,,,https://rutracker.org/forum/tracker.php?nm=Whale%20Rider%202003,https://www.youtube.com/results?search_query=Whale+Rider+2003
Primer,,1,2004,https://en.m.wikipedia.org//wiki/Primer_(film),,,,,,https://rutracker.org/forum/tracker.php?nm=Primer%202004,https://www.youtube.com/results?search_query=Primer+2004
Born into Brothels,Audience Award Documentary,1,2004,https://en.m.wikipedia.org//wiki/Born_into_Brothels,documentary,,,,,https://rutracker.org/forum/tracker.php?nm=Born%20into%20Brothels%202004,https://www.youtube.com/results?search_query=Born+into+Brothels+2004
